,acceptability,sentence
4723,1,wHAT REPRESENT THE NAME LAWYER THE FOR OR LEGAL COUNSELOR APPOINTED TO IS AN ACCUSED?
18710,0,Chess is an intellectual game where each move can be thought of as a move in life.
7822,0,Janitor runs into the woods to try to save his mother from a creature.
32675,1,the movie opens with the title and credits over the streets of turn of the century New York City at night in the pouring rain A solitary figure walks down the street holding an umbrella
24809,1,The Joker offers to kill Batman in exchange for half of their money. Batman rejects a offer and flees.
18041,1,"A of ramble aious wife"""" can teach my ""How tox."
32282,0,Where in the body would a paravertebrate have their internal organs?
21933,1,A cat tries to and she book in the library at his book's agenu.
18458,0,Ugarite is a large group of speakers of Ugaritic and the second language of the Ugaritic speakers of the Ugaric speakers of the Ugaric speakers of the Ugaric speakers of the Ugaritic speakers of the Ugaric speakers of the Urukic.
35721,1,"the an initial discussion about the nature of After book, goes author the on to talk about the book."
8275,1,wHAT IS THE LONGEST TERM USED IN A SURVEY?
23068,0,Young man with headphones on is speaking to someone.
27345,1,The doctor puts a tube in the man's groin and lowers him into the water.
27807,1,BRITAIN WAS WAR AT WITH FRANCE AND THE TWO POWERS WORLD IN THE FIRST FOUGHT WAR.
23132,0,"To get to the airport from your hotel, get on the 1st London Bus Tour The bus leaves every 10 minutes from outside the King's Cross railway station. The tour costs Â£15 per person, and takes about two hours."
19669,1,Canoes on the water are passing through some kind of dam.
30742,0,"A group of friends is talking in the street. One of them pulls out a gun and starts shooting. The gun goes off, but there's no one there. They continue to talk."
5043,1,How does parasites symbiosis between the and hosts occur?
37749,1,what's the name of the song in which the character is described as a gypsy?
5752,0,"As an alogue, what is the definition of an eagle?"
21700,0,What is the name of the long poem that contains a single question?
30780,0,The student in conversation with her friends and others.
21170,0,"A new book is awaiting me, and my desk inforc."
9604,0,The premise of a story is to make a statement about what you know.
16535,1,what is the most common name for the genus of mammals which include humans?
20866,0,"What is the name of the long, random question?"
3081,1,how many of the original price of the product is the result of the labor used to make it?
17800,0,A man gets into a conversation with another man in a restaurant.
34061,1,WE ARE ON A CITY ON THE WATERWAY AT NIGHT.
14316,0,"After decades of imprisonment, a group of political prisoners are released from Iran in 1990."
2033,1,What are a set of specialized pieces of equipment in an aircraft that are used for specific purposes?
30439,1,a young boy is standing on the porch and he is putting his shoes on.
15215,1,WHAT IS THE NAME OF THE WING ON A BUTTERFLY?
32412,0,"He hears someone screaming in pain inside his head and follows it to a man slumped over, dead."
25156,0,"While jogging alone, a woman suddenly collapses and rolls on the ground. As the woman dies, a man - Detective Jerry Lynch - finds her near-dead body, and takes her to the hospital. After Detective Lynch examines the crime scene photos, he realizes that the woman was murdered by a serial killer who left no fingerprints. He concludes that the killer is a sadistic, deranged murderer who mutilates women and mutilates corpses to cover his tracks, and then leaves each victim's bloody corpse to die in peace."
26981,1,a new premise revolves around the fact that a certain country has a certain type of precious stone.
18879,1,what if a premise could be turned into a story?
27837,1,the land was formerly part of a roman empire.
6799,1,"the mathematician John von Neumann (; born June 14, 1915) is a physicist and mathematical logician."
23871,1,We have through ice the snow and fought to survive.
22122,0,The German block was unable to defend against an attack from their new airspace.
14752,0,"The premise is that a man and a woman have been captured by Russian soldiers in Eastern Prussia, and that the woman is pregnant."
