,q1,q2,is_duplicate
4841,Why is there a long queue of people waiting to be checked into the airport?,What is happening at the airport?,1
1280,Whose blood is it?,What language does Aramaic come from?,1
4405,What is a reversible process?,Why did the Greeks want to invade Rome?,0
4103,What does a gynecologist specialize in?,Where did the Romans and Greeks get their medicine?,1
3121,What kind of creatures are dragonflies?,What kind of creature is a dragonfly?,1
38,What did the English do to the French during the Hundred Years' War?,Did the English do to the French during the Hundred Years' War what the French did to the English in the War of the Spanish Succession?,1
6445,Which group of scientists in the 18th century believed that the Earth was moving around the sun?,What are the astronomers called who study the universe?,1
6662,Where are the largest concentration of endemic species of plant life?,What is another word for an item that has been redesigned?,0
769,What is the name of the company that has a large collection of games on its website?,What did a scientist invent in 1773?,0
4797,Why do we have to learn a language?,How do people find a job?,0
6771,What was the name of the German soldier who was found guilty of killing the French?,Who became the first European footballer to score a hat-trick in a European Championship final?,1
7786,How much did you spend on your wedding day?,Approximately how much money did you spend on your wedding day?,1
7001,How are birds classified?,What did the Romans call the part of the earth between Capricorn and Cancer?,0
3220,What did the first space station launch attempt crash into?,What did the crash attempt result in?,1
1112,What is the name of the space-based telescope which was completed in 2009?,How is a random word formed?,0
7306,What is the name of the king of the ape kingdom?,"What is the name of the game, where players must move a large cube to reach a goal?",0
2435,What is a randomly generated long question?,"What does a ""long question"" ask?",1
4791,How many muscles does a person have?,What is the name of the island where the game of Monopoly originated?,0
3279,What do you call the branch of the Catholic Church that deals with teaching and theology?,How can one be sure of one's salvation?,1
246,Who was born in a time when some people considered it illegal to be gay?,Why is it hard for older LGBT people to meet?,1
1883,What does the rhomboid muscle of the human body contain?,what is rhomboids?,1
5878,What was the name of the dog in the movie?,What is the name of the dog?,1
4679,What is a random long question?,What is the name of the term for when a story is difficult to understand?,1
1015,How do you get to another planet?,How does one learn a musical instrument?,0
6999,What does the -kl suffix represent?,How do narcoleptics feel?,0
5872,What was the name of the person who became head of the Freemasons in 1818?,What is the name of the book about a Tibetan monk that is the basis for the story of Avicenna?,1
4471,How is the weather in London today?,Who was the ruler of Rome when it fell in 509?,0
1470,Who became the first president of the Federal Republic of Nigeria?,"Which of the following is not a natural disaster: terrorism, flooding, a fire, or a hurricane?",0
320,Why is a random question asked?,Which country occupied Nigeria for the longest time after the fall of the West?,0
1893,What is the first time period for a group of people to make up a society?,What is the name of the earliest known society?,1
7759,What is the name of the swan-like bird found in the southern part of Germany?,What did Shakespeare call the king of the fairies?,0
4731,What was the name of the song performed by Elton John and George Michael to raise money for charity?,Which song was used as the theme song for the movie of the same name?,1
3501,What is the only country where a second language is spoken as a second language?,"What is the name for a a small, isolated community of people who live in a mountain valley or rocky area?",0
4153,What country is the most southern in Africa?,Who was responsible for the demise of the ancient Egyptian civilization?,0
954,What is the main point of a story?,What does the abbreviation R&G stand for?,0
4311,Who is the head of the Roman Catholic Church?,What is the title of the leader of the Roman Catholic Church?,1
4986,Where did Avicenna spend the summer of 1519?,What does a hypnotist do?,0
7666,How do you say this in Dutch?,"What does the Dutch word ""ondernemen"" mean?",1
1380,What type of questions is the text trying to answer?,How do people die?,1
1116,What country does the dactyl belong to?,Who was the leader of the Roman army?,0
5959,What is the meaning of the word 'hysteresis'?,What is the name of the rogue planet that was discovered in 1967?,0
2466,What type of question is asked in an exam?,What kind of questions are asked in the exam?,1
7614,Who is not an official emcee in any of the contests?,What kind of question is it?,0
1161,How many years does an octave last?,What is the name of the drug that is extracted from cannabis?,0
5214,"What do you get when you add together a melon, a lemon, and a rhubarb stem?",What is the name of the slang term for a woman who is not willing to engage in sex?,0
4548,Where does a synapse communicate between neurons?,How many years did the Templars serve the Holy Roman Empire?,0
346,What is a common name for a large group of plants found in the same area?,What is the name of the Chinese city of Nanjing?,0
306,How would you describe the general feeling of this novel?,What does the novel's ending convey?,1
3449,What was the name of the man who first built a wing on a building?,What is the name of the sex game show that has been on since 1956?,0
1191,"What was the name of the ship in which Captain Kidd, his wife, and two children died?",What was the name of the ship Kidd died on?,1
1571,What do you call the group of individuals who take the oath of allegiance?,What is the military branch of the United States?,1
4497,"What does the letter ""r"" represent?",Who was the president of France at the time of the Hundred Years' War?,0
6875,Who is the head of the National Union of Mineworkers?,What's another name for a random question?,0
6049,What is the first letter of the first sentence of the first chapter of Genesis?,What is the name of the drug which was developed by Hans Jonas Hoffmann?,0
2332,How did John Keats die?,What do you call a male rabbit that has long fluffy ears?,0
6559,What is the name of the song from the musical Hair that was released in 1975?,Who were the band the played with?,1
1392,What is the name of the city that is located on the eastern edge of the state of Louisiana?,What is the name of the fictional mercenary in The Godfather?,0
7163,What type of fish is a flounder?,What kind of fish is a flounder?,1
164,Where did the Germans plan to attack?,Who did the Germans plan to attack?,1
6688,"Which of the following is NOT an element of the periodic table: carbon, hydrogen, nitrogen, or sulfur?",Which metal is used to make steel?,1
3511,What is another name for the equivalence ratio?,What is the name of the island of Bermuda?,0
5170,What is the name of the new law that allows children in the US to have an abortion?,"What is the name of the Chinese-derived term for ""bright light"" or ""white light""?",0
6521,What is the name of the website that has a database of random questions?,Whose Line Is It Anyway?,1
564,What is the title of the symphony by Brahms?,"Which elongated form of a letter (e.g., e, e, i) is a type of glyph used in the Chinese and Korean alphabets?",0
3880,What do the people in the United Kingdom and Ireland call the Isle of Man?,What is the name of the Manx parliament?,1
3613,What kind of car was the car shown in the ad for the Chrysler?,What kind of car was shown in the ad?,1
149,How many members make up the majority of the House of Representatives?,Who was the first European leader to make contact with Islam?,0
3085,What is the most common tenth note in Western music?,"What is the name of the ape-like, flightless bird found in the mountains of Peru?",0
3950,Which element has the atomic number 7?,Where are the Alps?,0
7321,"What is a random, long, unanswered question that is asked at random?","What is a long, unanswered question asked at random?",1
2361,How long does it take for a ship to sail around the world?,How long does it take to sail around the world?,1
777,Who is the father of the girl?,Why would the father be upset?,1
3726,"Which of the following is not a form of exercise: walking, running, swimming or cycling?",How are insects grouped?,0
7222,What did the Soviet Union plan to do if Britain did not allow them to stay on the island?,How do you spell the English word'sneeze'?,0
4867,What type of creature is the tiger?,what type of animal is a tiger?,1
1581,Where did the Swiss Confederation originally come from?,What country is the city of Lucerne in?,1
4499,What is the name of the city in which the Winter Olympics is held?,What is the name of the group that has been attempting to re-establish an orchestra?,0
1625,What is the name of the area in the world that is the largest area of land that is devoted to agricultural purposes?,What is the name of the arid region in the western part of Africa?,1
1461,What was the name of the king of England whose succession was challenged by a rebellion?,What is the name of the area in the center of the earth whose rotation speeds the sun around the planet?,0
17,What is the name of the character who is being questioned?,What is the nth prime number?,0
3778,What can I not do with my body?,Is this a sign of an illness?,1
3112,How long has it been since the end of the Second World War?,What is the name of the group of people who have a collective name?,0
4323,How do you say 'no' in Russian?,What is a Russian Orthodox Church?,1
5917,What is the most common name for the genus of flowering plants in the genus Orchis?,What is another word for a random event?,0
7776,What can an organism do to another to cause physical changes in the organism?,What was the name of the film which depicted the crucifixion of Jesus?,0
6053,"Which is not a last name, Robinson or King?",Who argued that slavery was not a major factor in the development of the nation's industrial economy?,1
2052,What type of food is found in the South American cuisine?,Where is the crater in the Moon?,0
1632,What is the full title of the work?,What book did William Shakespeare write?,1
4551,What are the four basic elements?,What are the four elements of matter?,1
626,"What was the name of the US satellite that was launched on April 12, 1958?",What type of wurm is a troglodyte?,0
7087,What is the name of the country in Asia where there is a yearly festival celebrating the 'New Year'?,Why did the king of France want to know about Switzerland's banking system?,0
2219,What can be done to a person without a legal guardian?,How many stars are on the flag of Papua New Guinea?,0
104,How many pieces of equipment does the average orchestra have?,How much musical equipment does a percussionist typically have in his/her home?,1
3492,Why did Paul VI want to see John's face?,Why did Peter go with John?,1
6802,"What is the name of the city that includes the countries of the Maldives, Sri Lanka and India?",What city was included in the Maldives?,1
4513,How many players were there in the team that won the 2010 FIFA World Cup?,How many kilometres is the railway from the airport?,1
3149,What was the name of the company that marketed and distributed the first talking dolls in 1923?,Who made the toyline of the 80s?,1
2329,What was the name of the movie which was released in 1989?,What is the name of the film that was released in 1989?,1
6809,What is the term for an unidentified substance that does not contain carbon and hydrogen?,What type of substance does a pesticide or herbicide destroy?,1
7563,"Which of the following is not a country: the United States, China, Japan, Nigeria, Turkey, or France?",Whose rule did Greece invade in the 12th century?,1
6811,What is the name of the long term event which the world has to be ready for on 21st December 2014?,What is the name of the long-term event which the world must be ready for on 21 December 2014?,1
3367,What was the name of the fictional anthropologist who became an icon of the Soviet Union?,What is the name of the female protagonist in Jane Eyre?,0
2225,How is the weather described in the novel War and Peace?,What is the name of the computer game in which the characters are not allowed to wear a costume?,0
298,What is the name of the person who runs the CIA?,Who is the mother of the king of Spain?,0
